table_name,column_name,data_type,character_maximum_length,derivedcolumn,collation_name,location
dim_annuity_sid_detail,as_id,varchar,30,[as_id] [varchar](30),COLLATE Latin1_General_100_BIN2_UTF8,product/confidential/dim_annuity_sid_detail/**
dim_annuity_sid_detail,as_unformatted_id,varchar,30,[as_unformatted_id] [varchar](30),COLLATE Latin1_General_100_BIN2_UTF8,product/confidential/dim_annuity_sid_detail/**
